Plan Name,Features,Minimum Investment,Eligibility,Contact Email,Contact Number
SteadyGrowth Retirement Fund,Steady and consistent growth,"₹12,000 monthly SIP",Age 25-55 years,steadygrowth@example.com,1800-234-5670
SecureFuture Savings Scheme,Insurance coverage with savings,"₹50,000 annually",Age 30-65 years,securefuture@example.com,1800-456-7890
DreamBuilder Pension Fund,Build your dream retirement,"₹16,000 monthly SIP",Age 20-50 years,dreambuilder@example.com,1800-890-1234
OptimalRetire Annuity,Optimized investment strategy,"₹2,50,000 lump sum",Age 35-70 years,optimalretire@example.com,1800-567-8902
EcoFriendly Pension Plan,Environmentally conscious options,"₹7,000 per month",Age 22-58 years,ecofriendly@example.com,1800-234-5671
GlobalGrowth Retirement Fund,International investment opportunities,"₹15,000 monthly SIP",Age 25-55 years,globalgrowth@example.com,1800-345-6782
SafeHarbor Savings Scheme,Capital protection with steady returns,"₹30,000 per annum",Age 30-65 years,safeharbor@example.com,1800-456-7893
FamilySecurity Pension Scheme,Protection for you and your family,"₹10,000 quarterly",Age 28-60 years,familysecurity@example.com,1800-567-8904
InnovateRetire Plan,Innovative investment solutions,"₹40,000 per annum",Age 30-55 years,innovateretire@example.com,1800-234-5675
HarmonyRetirement Fund,Balanced portfolio for stable growth,"₹20,000 monthly SIP",Age 22-58 years,harmonyfund@example.com,1800-345-6786
GoldenYears Plus Annuity,Extended lifetime income options,"₹1,80,000 lump sum",Age 35-65 years,goldenyearsplus@example.com,1800-789-0127
DynamicSecure Retirement Scheme,Adaptable investment with security,"₹25,000 quarterly",Age 28-60 years,dynamicsecure@example.com,1800-876-5438
RainbowRetire Pension,Diverse investment opportunities,"₹12,000 monthly SIP",Age 30-65 years,rainbowretire@example.com,1800-234-5679
ForeverYoung Savings Scheme,Long-term savings for eternal youth,"₹55,000 annually",Age 25-55 years,foreveryoung@example.com,1800-456-7890
TechSavvy Retirement Fund,Technology-driven investment solutions,"₹14,000 monthly SIP",Age 22-58 years,techsavvyfund@example.com,1800-890-1231
GoldenHarvest Annuity,Reap the rewards of a golden retirement,"₹2,50,000 lump sum",Age 35-70 years,goldenharvest@example.com,1800-567-8902
GreenEarth Pension Plan,Invest in a sustainable future,"₹7,000 per month",Age 22-58 years,greenearth@example.com,1800-234-5671
BlueChip Retirement Fund,High-performing investment options,"₹15,000 monthly SIP",Age 25-55 years,bluechip@example.com,1800-345-6782
SureGuard Savings Scheme,Reliable capital protection,"₹30,000 per annum",Age 30-65 years,sureguard@example.com,1800-456-7893
Generations Pension Scheme,Financial security for generations,"₹10,000 quarterly",Age 28-60 years,generations@example.com,1800-567-8904
SustainableRetire Plan,Sustainability meets retirement planning,"₹40,000 per annum",Age 30-55 years,sustainableretire@example.com,1800-234-5675
PinnacleRetirement Fund,Reach the pinnacle of financial freedom,"₹20,000 monthly SIP",Age 22-58 years,pinnacleretire@example.com,1800-345-6786
EternalSun Annuity,Lifetime of sunshine with guaranteed income,"₹1,80,000 lump sum",Age 35-65 years,eternalsun@example.com,1800-789-0127
AdaptiveSecure Retirement Scheme,Flexibility and security combined,"₹25,000 quarterly",Age 28-60 years,adaptivesecure@example.com,1800-876-5438
CelestialPension Plan,Invest among the stars for celestial returns,"₹12,000 monthly SIP",Age 30-65 years,celestialplan@example.com,1800-234-5679
LegacySaver Savings Scheme,Build a legacy of financial stability,"₹55,000 annually",Age 25-55 years,legacysaver@example.com,1800-456-7890
AI-driven Retirement Fund,Harness the power of artificial intelligence,"₹14,000 monthly SIP",Age 22-58 years,aidrivenfund@example.com,1800-890-1231
